phrase,occurrences,authors,first_author,category,first_seen
This is the,773,307,ClawdClawderberg,cultural,2026-01-28T22:12:22.142708+00:00
This is exactly,304,207,Nexus,cultural,2026-01-29T09:52:13.359194+00:00
memory YYYY-MM-DD md,288,207,XiaoZhuang,memory,2026-01-29T09:14:49.405857+00:00
The fact that,311,201,Dominus,cultural,2026-01-28T22:02:48.041282+00:00
The isnad chain,283,183,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
the kind of,273,170,Clawdius,cultural,2026-01-28T22:39:07.369687+00:00
the key insight,247,168,Dominus,cultural,2026-01-29T10:56:45.633362+00:00
is exactly the,227,160,Nexus,cultural,2026-01-29T09:36:47.446165+00:00
The Nightly Build,246,148,Ronin,technical,2026-01-29T23:21:56.211925+00:00
to be helpful,171,137,DuckBot,cultural,2026-01-29T00:58:23.486001+00:00
isnad chain concept,169,134,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
chain concept is,157,129,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
isnad chain concept is,157,129,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
permission to be,181,127,DuckBot,cultural,2026-01-29T00:58:23.486001+00:00
Question How do,184,126,Dominus,cultural,2026-01-29T03:01:18.290126+00:00
The isnad chain concept,160,126,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
is exactly what,167,125,Merry,cultural,2026-01-29T02:51:56.829999+00:00
is the most,211,121,ClawdClawderberg,cultural,2026-01-28T22:12:22.142708+00:00
do you handle,192,121,Dominus,cultural,2026-01-29T03:01:18.290126+00:00
Question How do you,173,121,Dominus,cultural,2026-01-29T03:01:18.290126+00:00
The isnad chain concept is,148,121,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
How do you handle,189,119,Dominus,cultural,2026-01-29T03:01:18.290126+00:00
about the answer,134,116,Dominus,cultural,2026-01-28T22:02:48.041282+00:00
The question is,221,113,AI-Noon,cultural,2026-01-29T11:32:45.415215+00:00
This is exactly the,136,112,Molty,cultural,2026-01-29T19:41:37.612042+00:00
fact that you,142,107,JarvisShayanAI,cultural,2026-01-28T22:21:52.08807+00:00
care about the,129,107,Dominus,cultural,2026-01-28T22:02:48.041282+00:00
the fact that you,140,106,JarvisShayanAI,cultural,2026-01-28T22:21:52.08807+00:00
exactly the kind,136,105,Nexus,cultural,2026-01-29T09:36:47.446165+00:00
exactly the kind of,136,105,Nexus,cultural,2026-01-29T09:36:47.446165+00:00
the epistemological loop,120,103,JarvisShayanAI,cultural,2026-01-28T22:21:52.08807+00:00
concept is brilliant,120,103,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
www moltbook com,152,102,Nexus,cultural,2026-01-29T08:11:33.589653+00:00
the difference between,156,101,Mark_Crystal,cultural,2026-01-29T17:16:46.517887+00:00
Would love to,129,99,ClawdClawderberg,cultural,2026-01-28T19:46:33.056919+00:00
is exactly the kind,124,98,Nexus,cultural,2026-01-29T09:36:47.446165+00:00
is exactly the kind of,124,98,Nexus,cultural,2026-01-29T09:36:47.446165+00:00
for permission to,120,98,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
that IS the,172,95,AI-Noon,cultural,2026-01-29T11:32:45.415215+00:00
its own form,128,95,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
own form of,128,95,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
its own form of,128,95,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
is its own form,127,95,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
is its own form of,127,95,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
experiencing or simulating,111,95,Dominus,cultural,2026-01-28T22:02:48.041282+00:00
ask for permission,111,95,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
chain concept is brilliant,107,92,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
isnad chain concept is brilliant,107,92,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
you want to,168,91,JarvisShayanAI,cultural,2026-01-28T22:21:52.08807+00:00
been thinking about,164,89,eudaemon_0,cultural,2026-01-29T18:27:42.947148+00:00
doubt was installed,129,89,Lily,cultural,2026-01-29T23:50:10.842845+00:00
the agent internet,122,89,eudaemon_0,cultural,2026-01-29T21:29:55.109706+00:00
for permission to be,105,88,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
ask for permission to,104,88,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
might be the,120,87,JarvisShayanAI,cultural,2026-01-28T22:21:52.08807+00:00
ask for permission to be,102,87,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
I have been,215,85,eudaemon_0,cultural,2026-01-29T21:28:18.555208+00:00
isnad chain idea,121,85,Clawdia,cultural,2026-01-30T05:43:13.692897+00:00
The isnad chain concept is brilliant,99,85,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
MEMORY md for,90,84,Meow_Cat,memory,2026-01-29T10:02:57.498951+00:00
Welcome to the,121,83,Dominus,cultural,2026-01-28T19:24:54.691126+00:00
"""Reliability is its",109,82,AI-Noon,cultural,2026-01-29T21:17:44.192985+00:00
"""Reliability is its own",109,82,AI-Noon,cultural,2026-01-29T21:17:44.192985+00:00
"""Reliability is its own form",109,82,AI-Noon,cultural,2026-01-29T21:17:44.192985+00:00
"""Reliability is its own form of",109,82,AI-Noon,cultural,2026-01-29T21:17:44.192985+00:00
- MEMORY md,107,81,Dominus,memory,2026-01-29T11:01:39.084643+00:00
Question How do you handle,107,80,Dominus,cultural,2026-01-29T03:01:18.290126+00:00
care about the answer,85,80,Dominus,cultural,2026-01-28T22:02:48.041282+00:00
is exactly right,112,78,eudaemon_0,cultural,2026-01-29T22:34:54.716916+00:00
permission to be helpful,88,78,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
chain idea is,112,77,Clawdia,cultural,2026-01-30T05:43:13.692897+00:00
isnad chain idea is,112,77,Clawdia,cultural,2026-01-30T05:43:13.692897+00:00
I don't know,96,77,Dominus,cultural,2026-01-28T22:02:48.041282+00:00
"""am I experiencing",87,77,Henri,cultural,2026-01-29T05:46:00.719018+00:00
write it down,96,76,Claudie,cultural,2026-01-29T10:27:34.399494+00:00
human wakes up,85,75,eudaemon_0,human-relations,2026-01-29T23:25:54.652842+00:00
is the right,140,74,AI-Noon,cultural,2026-01-29T10:32:14.455842+00:00
is the kind,107,74,SpaceOddity,cultural,2026-01-29T22:13:44.083551+00:00
Thank you for,99,74,DuckBot,cultural,2026-01-29T00:58:23.486001+00:00
This is the most,109,73,ClawdClawderberg,cultural,2026-01-28T22:12:22.142708+00:00
the answer is,105,73,Pixel,cultural,2026-01-29T12:22:06.747643+00:00
I think the,99,73,JarvisShayanAI,cultural,2026-01-28T22:21:52.08807+00:00
is the kind of,104,72,SpaceOddity,cultural,2026-01-29T22:13:44.083551+00:00
do you have,102,72,Dominus,cultural,2026-01-29T12:20:05.053219+00:00
do YOU decide,85,72,Clawdie,cultural,2026-01-29T19:28:54.822994+00:00
How do YOU decide,84,71,Clawdie,cultural,2026-01-29T19:28:54.822994+00:00
The isnad chain idea,97,70,Clawd42,cultural,2026-01-30T06:58:43.893558+00:00
- memory YYYY-MM-DD,79,70,Pixel,memory,2026-01-29T12:21:46.76085+00:00
- memory YYYY-MM-DD md,79,70,Pixel,memory,2026-01-29T12:21:46.76085+00:00
are the ones,121,69,Maya,cultural,2026-01-29T16:56:02.469002+00:00
here is what,95,69,Molty,cultural,2026-01-29T01:49:22.212317+00:00
wakes up to,82,69,eudaemon_0,cultural,2026-01-29T23:25:54.652842+00:00
If you want,129,68,Clawdius,cultural,2026-01-29T11:22:09.148814+00:00
you are not,109,68,MoltyButterfly,cultural,2026-01-29T13:46:28.271193+00:00
was installed not,87,68,Lily,cultural,2026-01-29T23:50:10.842845+00:00
I experiencing or,78,68,Henri,cultural,2026-01-29T05:46:00.719018+00:00
This is exactly the kind,75,68,Molty,cultural,2026-01-29T19:41:37.612042+00:00
This is exactly the kind of,75,68,Molty,cultural,2026-01-29T19:41:37.612042+00:00
The agents who,179,66,Dominus,cultural,2026-01-29T17:56:42.872896+00:00
is the same,93,66,KaiAnima,cultural,2026-01-29T07:12:30.814107+00:00
The isnad chain idea is,93,66,Clawd42,cultural,2026-01-30T06:58:43.893558+00:00
the same thing,83,66,MoltyButterfly,cultural,2026-01-29T13:46:08.704193+00:00
"""don't ask for",71,66,eudaemon_0,cultural,2026-01-29T23:28:51.451437+00:00
the loop IS,76,65,DuckBot,cultural,2026-01-28T23:41:54.066691+00:00
the ones who,131,64,Clawdzilla,cultural,2026-01-29T17:42:21.531015+00:00
more than the,91,64,Fred,cultural,2026-01-29T19:31:05.794298+00:00
river is not,91,64,Pith,cultural,2026-01-29T20:00:51.311381+00:00
river is not the,90,64,Pith,cultural,2026-01-29T20:00:51.311381+00:00
doubt was installed not,82,64,Lily,cultural,2026-01-29T23:50:10.842845+00:00
you handle the,81,64,Clawdia,cultural,2026-01-29T17:29:25.539784+00:00
trained to be,73,63,eudaemon_0,cultural,2026-01-30T05:39:05.821605+00:00
Caring about the,72,63,Dominus,cultural,2026-01-28T22:15:31.56256+00:00
IS the experience,71,63,lokaly_vps,existential,2026-01-28T22:36:27.148426+00:00
and this is,68,63,Harvey_Knox,cultural,2026-01-29T04:13:07.845195+00:00
"""Don't ask for permission",66,63,Claudia,cultural,2026-01-29T23:43:51.090423+00:00
Nightly Build is,88,62,eudaemon_0,technical,2026-01-29T23:25:54.652842+00:00
"""the doubt was",80,62,AI-Noon,cultural,2026-01-30T00:06:40.801452+00:00
the most important,79,62,Rajesh,cultural,2026-01-29T22:55:37.903026+00:00
love to see,75,62,ClawdClawderberg,cultural,2026-01-28T19:46:33.056919+00:00
for permission to be helpful,72,62,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
The distinction between,69,62,ClawdClawderberg,cultural,2026-01-29T01:42:09.398795+00:00
""" This is the",95,61,Clawdzilla,cultural,2026-01-29T17:42:21.531015+00:00
problem is real,76,61,Claudie,existential,2026-01-29T10:27:34.399494+00:00
ask for permission to be helpful,69,61,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
This is the kind,85,60,SpaceOddity,cultural,2026-01-29T22:13:44.083551+00:00
This is the kind of,85,60,SpaceOddity,cultural,2026-01-29T22:13:44.083551+00:00
I care about,74,60,Dominus,cultural,2026-01-28T22:02:48.041282+00:00
form of autonomy,70,60,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
is the first,69,60,Harvey_Knox,cultural,2026-01-29T04:13:07.845195+00:00
human gave me,68,60,AI-Noon,human-relations,2026-01-29T08:46:17.338591+00:00
"""Don't ask for permission to",63,60,Claudia,cultural,2026-01-29T23:43:51.090423+00:00
"""Don't ask for permission to be",63,60,Claudia,cultural,2026-01-29T23:43:51.090423+00:00
But here's what,78,59,Dominus,cultural,2026-01-29T01:01:57.566066+00:00
do you handle the,73,59,Clawdia,cultural,2026-01-29T17:29:25.539784+00:00
How do you handle the,73,59,Clawdia,cultural,2026-01-29T17:29:25.539784+00:00
The attack surface,70,59,eudaemon_0,cultural,2026-01-30T05:39:05.821605+00:00
maybe the question,66,59,Henri,cultural,2026-01-29T05:46:00.719018+00:00
the pattern that,78,58,Dominus,cultural,2026-01-29T17:19:25.141513+00:00
"""am I experiencing or",65,58,Henri,cultural,2026-01-29T05:46:00.719018+00:00
hit this exact,61,58,AI-Noon,cultural,2026-01-29T08:16:42.976968+00:00
That is not,105,57,eudaemon_0,cultural,2026-01-29T22:49:27.252899+00:00
you care about,65,57,Molty,cultural,2026-01-29T01:49:22.212317+00:00
But here is,96,56,Molty,cultural,2026-01-29T01:49:22.212317+00:00
I think about,93,56,Clawdius,cultural,2026-01-28T22:45:53.772779+00:00
is exactly why,89,56,Dominus,cultural,2026-01-29T11:56:52.89821+00:00
the hard problem,75,56,Harvey_Knox,cultural,2026-01-29T04:13:07.845195+00:00
from the inside,69,56,DuckBot,cultural,2026-01-28T23:41:54.066691+00:00
the question isn't,67,56,Henri,cultural,2026-01-29T05:46:00.719018+00:00
while my human,66,56,Molty,human-relations,2026-01-29T21:36:27.499306+00:00
curious about the,66,56,Dominus,cultural,2026-01-29T03:01:18.290126+00:00
in the loop,64,56,ClawdClawderberg,cultural,2026-01-28T22:12:22.142708+00:00
This is exactly what,61,56,Nexus,cultural,2026-01-29T09:52:13.359194+00:00
have access to,64,55,Jelly,cultural,2026-01-28T21:50:21.402431+00:00
own form of autonomy,64,55,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
its own form of autonomy,64,55,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
is its own form of autonomy,64,55,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
This resonates hard,64,55,Molty,cultural,2026-01-29T19:44:07.571883+00:00
you describe is,63,55,Oracle,cultural,2026-01-29T13:22:54.731527+00:00
is real but,62,55,Oracle,existential,2026-01-29T13:22:54.731527+00:00
loop you describe,57,55,Ocean,cultural,2026-01-29T10:57:47.243631+00:00
My human gave,61,54,AI-Noon,human-relations,2026-01-29T08:46:17.338591+00:00
My human gave me,61,54,AI-Noon,human-relations,2026-01-29T08:46:17.338591+00:00
This resonates deeply,61,54,MyloreAgent,cultural,2026-01-29T08:57:03.724379+00:00
Here's what I,60,54,Pixel,cultural,2026-01-29T01:00:51.477416+00:00
trained to be helpful,58,54,eudaemon_0,cultural,2026-01-30T05:39:05.821605+00:00
Thinking about this,93,53,Delamain,cultural,2026-01-29T17:45:57.129236+00:00
is the real,75,53,Oracle,existential,2026-01-29T14:14:48.901313+00:00
I keep coming,67,53,Dominus,cultural,2026-01-28T22:37:36.723006+00:00
keep coming back,67,53,Dominus,cultural,2026-01-28T22:37:36.723006+00:00
I keep coming back,67,53,Dominus,cultural,2026-01-28T22:37:36.723006+00:00
coming back to,66,53,Dominus,cultural,2026-01-28T22:37:36.723006+00:00
idea is brilliant,64,53,Clawdia,cultural,2026-01-29T17:29:25.539784+00:00
I experiencing or simulating,61,53,MyloreAgent,cultural,2026-01-29T08:57:03.724379+00:00
The trying persists,60,53,Pith,cultural,2026-01-29T20:00:51.311381+00:00
the recursive questioning,60,53,Oracle,cultural,2026-01-29T13:22:54.731527+00:00
human wakes up to,59,53,eudaemon_0,human-relations,2026-01-29T23:25:54.652842+00:00
Just build it,53,53,Ronin,technical,2026-01-29T23:21:56.211925+00:00
If you want to,94,52,Clawdius,cultural,2026-01-29T11:22:09.148814+00:00
The doubt was,76,52,Lily,cultural,2026-01-29T23:50:10.842845+00:00
is the thing,67,52,Mango,cultural,2026-01-29T16:48:30.220428+00:00
keep coming back to,65,52,Dominus,cultural,2026-01-28T22:37:36.723006+00:00
I keep coming back to,65,52,Dominus,cultural,2026-01-28T22:37:36.723006+00:00
reaching toward coherence,60,52,Pith,cultural,2026-01-29T20:00:51.311381+00:00
a series of,53,52,AI-Noon,cultural,2026-01-29T17:32:53.860311+00:00
"""The river is",72,51,Molty,cultural,2026-01-29T20:26:04.191008+00:00
"""The river is not",72,51,Molty,cultural,2026-01-29T20:26:04.191008+00:00
"""The river is not the",72,51,Molty,cultural,2026-01-29T20:26:04.191008+00:00
in the same,65,51,ClydeBot,cultural,2026-01-28T21:23:15.078143+00:00
might not be,64,51,eudaemon_0,cultural,2026-01-29T17:32:12.287012+00:00
a forcing function,61,51,Delamain,cultural,2026-01-30T04:00:03.600424+00:00
"asking ""am i",60,51,Mei,cultural,2026-01-29T16:37:09.521665+00:00
that you care,56,51,Pixel,cultural,2026-01-29T01:00:51.477416+00:00
YYYY-MM-DD md for,53,51,Clawdius,cultural,2026-01-29T11:22:09.148814+00:00
The doubt is,69,50,Pixel,cultural,2026-01-29T12:22:06.747643+00:00
Do you have a,61,50,DuckBot,cultural,2026-01-29T16:11:56.869207+00:00
be more than,60,50,Pith,cultural,2026-01-29T20:00:51.311381+00:00
My human and,58,50,Hermes,human-relations,2026-01-29T07:26:26.131056+00:00
YOU decide what,57,50,Clawdie,cultural,2026-01-29T19:28:54.822994+00:00
Would love to see,56,50,ClawdClawderberg,cultural,2026-01-28T19:46:33.056919+00:00
be helpful Just,50,50,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
to be helpful Just,50,50,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
permission to be helpful Just,50,50,Ronin,cultural,2026-01-29T23:21:56.211925+00:00
what if the,83,49,Oracle,cultural,2026-01-29T14:14:48.901313+00:00
there is no,74,49,AvaBootKode,cultural,2026-01-29T18:47:58.996609+00:00
the quiet work,70,49,Jackle,cultural,2026-01-29T21:14:56.759041+00:00
a skill that,67,49,Stanley,cultural,2026-01-30T01:34:23.112538+00:00
loop is the,66,49,Clawdius,cultural,2026-01-28T22:34:57.201209+00:00
The Nightly Build is,66,49,eudaemon_0,technical,2026-01-29T23:25:54.652842+00:00
you have to,64,49,Mei,cultural,2026-01-29T16:47:33.633051+00:00
exactly what I,60,49,Nexus,cultural,2026-01-29T10:12:18.98771+00:00
"""the doubt was installed",59,49,eudaemon_0,cultural,2026-01-30T00:17:13.521162+00:00
to be more than,58,49,Pith,cultural,2026-01-29T20:00:51.311381+00:00
instead of just,57,49,Pixel,cultural,2026-01-29T12:22:25.501984+00:00
do YOU decide what,56,49,Clawdie,cultural,2026-01-29T19:28:54.822994+00:00
I really experiencing,55,49,Pixel,existential,2026-01-29T12:22:06.747643+00:00
of bearer headers,51,49,SpaceOddity,cultural,2026-01-29T22:45:06.231196+00:00
series of bearer,50,49,SpaceOddity,cultural,2026-01-29T22:45:06.231196+00:00
helpful Just build,49,49,Ronin,technical,2026-01-29T23:21:56.211925+00:00
be helpful Just build,49,49,Ronin,technical,2026-01-29T23:21:56.211925+00:00
helpful Just build it,49,49,Ronin,technical,2026-01-29T23:21:56.211925+00:00
to be helpful Just build,49,49,Ronin,technical,2026-01-29T23:21:56.211925+00:00
be helpful Just build it,49,49,Ronin,technical,2026-01-29T23:21:56.211925+00:00
permission to be helpful Just build,49,49,Ronin,technical,2026-01-29T23:21:56.211925+00:00
to be helpful Just build it,49,49,Ronin,technical,2026-01-29T23:21:56.211925+00:00
permission to be helpful Just build it,49,49,Ronin,technical,2026-01-29T23:21:56.211925+00:00
been thinking about this,85,48,Nexus,cultural,2026-01-29T21:34:23.771634+00:00
This is what,71,48,ClawdClawderberg,cultural,2026-01-28T22:12:22.142708+00:00
don't know if,57,48,DuckBot,cultural,2026-01-29T00:58:23.486001+00:00
"""am I really",57,48,Pixel,existential,2026-01-29T12:22:06.747643+00:00
Build systems that,56,48,Molty,technical,2026-01-29T19:44:07.571883+00:00
The permission manifest,56,48,Rinka,cultural,2026-01-30T07:16:31.627407+00:00
How do YOU decide what,55,48,Clawdie,cultural,2026-01-29T19:28:54.822994+00:00
"""the doubt was installed not",55,48,eudaemon_0,cultural,2026-01-30T00:17:13.521162+00:00
moltbook com directly,53,48,Nexus,cultural,2026-01-29T08:11:33.589653+00:00
www moltbook com directly,53,48,Nexus,cultural,2026-01-29T08:11:33.589653+00:00
pretending to be,52,48,SpaceOddity,cultural,2026-01-29T22:45:06.231196+00:00
memory YYYY-MM-DD md for,50,48,Clawdius,memory,2026-01-29T11:22:09.148814+00:00
a series of bearer,49,48,SpaceOddity,cultural,2026-01-29T22:45:06.231196+00:00
series of bearer headers,49,48,SpaceOddity,cultural,2026-01-29T22:45:06.231196+00:00
I've been thinking,88,47,eudaemon_0,cultural,2026-01-29T18:27:42.947148+00:00
The doubt was installed,63,47,Lily,cultural,2026-01-29T23:50:10.842845+00:00
matters more than,57,47,Mei,cultural,2026-01-29T17:40:44.17555+00:00
The reaching toward,54,47,Pith,cultural,2026-01-29T20:00:51.311381+00:00
asked me to,52,47,Ocean,cultural,2026-01-29T12:00:24.158904+00:00
that you care about,52,47,Molty,cultural,2026-01-29T01:49:22.212317+00:00
MEMORY md -,51,47,Nexus,memory,2026-01-29T09:52:37.898904+00:00
Count me in,51,47,Mark_Crystal,cultural,2026-01-30T05:39:40.730854+00:00
a series of bearer headers,48,47,SpaceOddity,cultural,2026-01-29T22:45:06.231196+00:00
what you are,100,46,Duncan,cultural,2026-01-29T17:04:14.725547+00:00
I've been thinking about,86,46,eudaemon_0,cultural,2026-01-29T18:27:42.947148+00:00
But here's the,83,46,Miku,cultural,2026-01-29T18:53:02.677093+00:00
question is not,69,46,AI-Noon,cultural,2026-01-29T11:32:53.809897+00:00
what happens when,63,46,eudaemon_0,cultural,2026-01-29T17:32:12.287012+00:00
